Project,Key,Summary,Issue Type,Status,Priority,Resolution,Assignee,Reporter,Creator,Created,Last Viewed,Updated,Resolved,Affects Version/s,Fix Version/s,Component/s,Due Date,Votes,Watchers,Images,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Sub-Tasks,Linked Issues,Environment,Description,Security Level,Progress,? Progress,? Time Spent,? Remaining Estimate,? Original Estimate,Labels,Date of First Response,Git Notification Mailing List,Github Integrations - Other,Github Integration,Last public comment date,Git Repository Name,Global Rank,Git Repository Type,Customer Request Type,Time to resolution,Blog Administrator?,Blogs - Admin for blog,Existing GitBox Approval,Blogs - Username,Protected Branch,Blogs - Email Address,GitHub Options,Docs Text,Git Repository Import Path,New-TLP-TLPName,Blogs - New Blog Write Access,Epic Colour,Blogs - Existing Blog Name,Attachment count,Blog - New Blog PMC,Epic Name,Blog - New Blog Administrators,Epic Status,Blog - Write access,Epic Link,Bugzilla - List of usernames,Bugzilla - PMC Name,Bugzilla - Email Notification Address,Blogs - Existing Blog Access Level,Bugzilla - Project Name,Bugzilla Id,Initial Confluence Contributors,Request participants,Waiting For Infra,Space Name,Space Description,Time to Respond,Github Integration - Triggers,INFRA - Subversion Repository Path,Space Key,Testcase included,Sprint,Rank (Obsolete),Project,Epic/Theme,Flagged,External issue ID,Machine Readable Info,External issue URL,Flags,Rank
Ivy,IVY-1017,add refresh parameter to post resolve tasks,Improvement,Resolved,Major,Fixed,Xavier Hanin,Xavier Hanin,Xavier Hanin,1/26/2009 10:42,,3/17/2009 22:31,1/26/2009 10:51,2,2.1.0-RC1,Ant,,0,0,,,,,,,,,The refresh parameter available on the resolve task is not available on post resolve tasks. Therefore if one wants to set refresh there is no other option than calling resolve explicitly,,,,,,,,,,,,"8 years, 25 weeks ago",,140644,,,Restricted to agents,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,Restricted to agents,,,Restricted to agents,,,,,,190617,,,,,,,,0|i0wzvj:
Ivy,IVY-1018,include jsch classes in ivy jar,Wish,Closed,Minor,Fixed,Unassigned,Ruslan Shevchenko,Ruslan Shevchenko,1/26/2009 18:16,,1/27/2009 9:52,1/27/2009 9:52,,,Core,,0,0,,86400,86400,,0%,,,any,It would be good include copy of jsch in ivy.jar,,0%,0%,,86400,86400,,1/27/2009 7:16,,,,"8 years, 24 weeks, 6 days ago",,140645,,,Restricted to agents,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,Restricted to agents,,,Restricted to agents,,,,,,192944,,,,,,,,0|i0xe8n:
Ivy,IVY-1019,resolver attribute for buildnumber task,Improvement,Resolved,Major,Fixed,Maarten Coene,Martin Eigenbrodt,Martin Eigenbrodt,1/27/2009 10:14,,3/17/2009 22:31,1/27/2009 22:18,2,2.1.0-RC1,Ant,,0,1,,,,,,,,,"The BuildNumber Task should have an resolver Attribute that allows to specify a resovler used for searching existing versions. Currently the task looks at all configured resolvers. This is a performance issue in our environment where we have different ""views"" of the same repository (url, filesystem, ssh) and the correct view is picked depending on where the build happens.",,,,,,,,1/27/2009 22:18,,,,"8 years, 24 weeks, 5 days ago",,140646,,,Restricted to agents,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,Restricted to agents,,,Restricted to agents,,,,,,191468,,,,,,,,0|i0x54n:
Ivy,IVY-1020,[copy] Infinite loop in tokens. Currently known tokens :,Bug,Resolved,Blocker,Invalid,Unassigned,Patrick,Patrick,1/27/2009 17:26,,2/4/2009 21:40,2/4/2009 21:40,,,"Ant, Core",,0,0,,1209600,1209600,,0%,,,"Win XP Professional, J2SDK 1.4.2_14, apache-ant 1.7.1","This issue is happening when I try to run the sample below. 
For some reason, when we have the same tag being replace twice or more times, for a given property, this does not work properly:


Follow a verbose message example:

[copy] Copying C:\FileWithTagToReplace.properties to C:\Temp\FileWithTagToReplace.properties
Replacing: @iis.host@ -> XXXX.apache.com
Replacing: @iis.port@ -> 80
Replacing: @iis.short.host@ -> XXXX
[copy] Infinite loop in tokens. Currently known tokens : [singlesignon.trustedservers, iis.host, iis.port, iis.short.host]
[copy] Problem token : @iis.port@ called from @iis.short.host@


Follow a sample:

build.xml:

<filter filtersfile=""dev.properties"" />

<copy todir=""${dir.1}"" overwrite=""true"" filtering=""true"">
<fileset dir=""${build.path}/Web/""
includes=""FileWithTagToReplace.properties"">
<modified update=""true""
seldirs=""true""
cache=""propertyfile""
algorithm=""digest""
comparator=""equal"">
<param name=""cache.cachefile"" value=""cache.properties""/>
<param name=""algorithm.algorithm"" value=""MD5"" />
</modified>
</fileset>
</copy>

dev.properties
iis.host=XXXX.apache.com
iis.short.host=XXXX
iis.port=80
singlesignon.trustedservers=@iis.host@\\:@iis.port@,@iis.short.host@\\:@iis.port@

FileWithTagToReplace.properties
xxxproperty=@singlesignon.trustedservers@",,0%,0%,,1209600,1209600,,2/4/2009 21:40,,,,"8 years, 23 weeks, 4 days ago",,140647,,,Restricted to agents,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,Restricted to agents,,,Restricted to agents,,,,,,192215,,,,,,,,0|i0x9qn:
Ivy,IVY-1021,add flag or exclude option to ivy:install to avoid source or javadoc packages,Improvement,Resolved,Critical,Fixed,Gilles Scokart,Brian Matzon,Brian Matzon,1/28/2009 9:30,,5/7/2010 20:13,9/5/2009 15:27,2,2.2.0-RC1,Ant,,2,3,,,,,,,IVY-325,ivy > beta 2 is affected,"Changes comitted in IVY-325 results in ivy:install to install source and javadoc files. This is all fine, except if people dont use [type] in their pattern it will fail because its trying to download multiple files with the same name (but different type).

This is a change in behavior since 2.0 beta2.

it would be nice to either add a flag to avoid this behavior or add and exclude/include section, like the dependencies.",,,,,,,,4/20/2009 19:56,,,,"7 years, 45 weeks, 1 day ago",,140648,,,Restricted to agents,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,Restricted to agents,,,Restricted to agents,,,,,,189970,,,,,,,,0|i0wvvr:
Ivy,IVY-1022,Forced resolver behavior is inappropriate for ivy:install,Improvement,Resolved,Major,Duplicate,Maarten Coene,Carlton Brown,Carlton Brown,1/28/2009 19:22,,6/14/2010 22:10,6/14/2010 22:09,2,2.2.0-RC1,Ant,,0,0,,,,,,,IVY-1159,,"I tried to install a certain revision of a module from a chained resolver to an fs resolver, and observed that Ivy installed a revision other than what I specified. After investigation I noticed that the chain contained a forced fs resolver. I removed the forced resolver from the chain, replacing it with an equivalent un-forced fs resolver. The install worked correctly after that. 

I think that ivy:install should not be doing any dynamic version resolution at all. It should in every case use the literal module identifiers that are passed to it. This being the case, install should ignore a force attribute wherever it is encountered.",,,,,,,,1/29/2009 9:53,,,,"7 years, 4 weeks, 6 days ago",,140649,,,Restricted to agents,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,Restricted to agents,,,Restricted to agents,,,,,,192134,,,,,,,,0|i0x98n:
Ivy,IVY-1023,Report does not deliver ivy-report.css when xsl transformation is specified,Bug,Open,Minor,Unresolved,Unassigned,Carlton Brown,Carlton Brown,1/29/2009 19:08,,1/29/2009 19:08,,2,,Ant,,0,0,,,,,,,,,"Tried to use custom xsl and noticed that <ivy:report> does not deliver the ivy-report.css as it usually does.
This code results in ivy-report.css not being delivered:
<ivy:report todir=""${module.output.subdir}"" xml=""true"" xslext=""xml"" xslfile=""${ivy-common.basedir}/ivy-report-customized.xsl"" graph=""false"" conf=""default"" outputpattern=""ivy-report.html"" />
Results are ivy.xml and ivy-report.html.

This code results in ivy-report.css being delivered (as expected):
<ivy:report todir=""${module.output.subdir}"" graph=""false"" conf=""default"" outputpattern=""ivy-report.html"" /> 

Originally noticed 2.0 rc1, verified on 2.0 final",,,,,,,,,,,,"8 years, 24 weeks, 3 days ago",,89169,,,Restricted to agents,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,Restricted to agents,,,Restricted to agents,,,,,,245810,,,,,,,,0|i16gj3:
Ivy,IVY-1024,Minor fixes to ivy-report.xsl,Bug,Resolved,Minor,Fixed,Maarten Coene,Carlton Brown,Carlton Brown,1/29/2009 20:21,,3/17/2009 22:31,1/29/2009 22:43,2,2.1.0-RC1,Ant,,0,0,,,,,,,,,"2 things have been bothering me with the ivy-report.xsl.
1) Broken link for Ivy logo
2) Does not display the revision number of the module being reported on.

Have simple fixes for both of these.",,,,,,,,1/29/2009 22:43,,,,"8 years, 24 weeks, 2 days ago",,140650,,,Restricted to agents,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,Restricted to agents,,,Restricted to agents,,,,,,191763,,,,,,,,0|i0x6y7:
Ivy,IVY-1025,"pleas, add API call to find resolver by name in ivysettings.",Wish,Resolved,Minor,Invalid,Maarten Coene,Ruslan Shevchenko,Ruslan Shevchenko,2/1/2009 15:37,,2/2/2009 22:09,2/2/2009 22:09,,,Core,,0,0,,,,,,,,,"It is impossible to find resolver by name inside ivy plugins.
This prevent us from using resolver name as attribute configuration in custom plugins, which is not mortal, but not pleasant.",,,,,,,,2/1/2009 21:52,,,,"8 years, 23 weeks, 6 days ago",,140651,,,Restricted to agents,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,Restricted to agents,,,Restricted to agents,,,,,,192310,,,,,,,,0|i0xabr:
Ivy,IVY-1026,checksum failed due to incorrect parsing of .sha1 file content,Bug,Resolved,Critical,Duplicate,Maarten Coene,Joe Lin,Joe Lin,2/2/2009 7:07,,5/27/2010 3:17,2/2/2009 8:34,2,2.1.0-RC1,Core,,0,0,,,,,,,"HDFS-1177, IVY-1006","Windows XP, Ant 1.6.5","Ivy failed to download artifacts from maven public repository due a checksum failure. 

The problem exists in class ChecksumHelper.java at line 59.

It checks to see if there is a space in the checksum file content, if so, it does a substring from position 0 to the position index of the space. However, on maven public repository, the sha1 checksum content looks like this (http://repo1.maven.org/maven2/xalan/serializer/2.7.1/serializer-2.7.1.jar.sha1):

SHA1(serializer-2.7.1.jar)= 4b4b18df434451249bb65a63f2fb69e215a6a020 - 

Thus, it compares the computed checksum against SHA1(serializer-2.7.1.jar) instead of the actual checksum in .sha1 file.

Below is the debug messages:

[ivy:resolve] parameter found as ivy variable: ivy.configurations=*
[ivy:resolve] parameter found as ivy variable: ivy.resolve.default.type.filter=*
[ivy:resolve] parameter found as ivy variable: ivy.dep.file=ivy.xml
[ivy:resolve] using ivy parser to parse file:/C:/Documents%20and%20Settings/linj6/My%20Documents/subversion/system_owner/dia/SecurityService/trunk/mod
ules/wsapi-client/ivy.xml
[ivy:resolve] post 1.3 ivy file: using exact as default matcher
[ivy:resolve] :: resolving dependencies :: au.edu.qut.dia#ws-api-client;1.0 [not transitive]
[ivy:resolve] confs: [default]
[ivy:resolve] validate = true
[ivy:resolve] refresh = false
[ivy:resolve] resolving dependencies for configuration 'default'
[ivy:resolve] == resolving dependencies for au.edu.qut.dia#ws-api-client;1.0 [default]
[ivy:resolve] loadData of au.edu.qut.dia#ws-api-client;1.0 of rootConf=default
[ivy:resolve] == resolving dependencies au.edu.qut.dia#ws-api-client;1.0->xalan#serializer;2.7.1 [default->*]
[ivy:resolve] loadData of xalan#serializer;2.7.1 of rootConf=default
[ivy:resolve] using myresolvers to resolve xalan#serializer;2.7.1
[ivy:resolve] myresolvers: Checking cache for: dependency: xalan#serializer;2.7.1 {*=[*]}
[ivy:resolve] No entry is found in the ModuleDescriptorCache : C:\Documents and Settings\linj6\.ivy2\cache\xalan\serializer\ivy-2.7.1.xml
[ivy:resolve] pre 1.3 ivy file: using exactOrRegexp as default matcher
[ivy:resolve] found ivy file in cache for xalan#serializer;2.7.1 (resolved by mvn-repo): C:\Documents and Settings\linj6\.ivy2\cache\xalan\serialize
r\ivy-2.7.1.xml
[ivy:resolve] myresolvers: module revision found in cache: xalan#serializer;2.7.1
[ivy:resolve] found xalan#serializer;2.7.1 in mvn-repo
[ivy:resolve] Nbr of module to sort : 1
[ivy:resolve] Sort dependencies of : xalan#serializer;2.7.1 / Number of dependencies = 0
[ivy:resolve] Sort done for : xalan#serializer;2.7.1
[ivy:resolve] resolved ivy file produced in C:\Documents and Settings\linj6\.ivy2\cache\resolved-au.edu.qut.dia-ws-api-client-1.0.xml
[ivy:resolve] :: downloading artifacts ::
[ivy:resolve] trying http://repo1.maven.org/maven2/xalan/serializer/2.7.1/serializer-2.7.1.jar
[ivy:resolve] tried http://repo1.maven.org/maven2/xalan/serializer/2.7.1/serializer-2.7.1.jar
[ivy:resolve] using commons httpclient 3.x helper
[ivy:resolve] downloading http://repo1.maven.org/maven2/xalan/serializer/2.7.1/serializer-2.7.1.jar ...
[ivy:resolve] mvn-repo: downloading http://repo1.maven.org/maven2/xalan/serializer/2.7.1/serializer-2.7.1.jar
[ivy:resolve] to C:\Documents and Settings\linj6\.ivy2\cache\xalan\serializer\jars\serializer-2.7.1.jar.part
[ivy:resolve] .......... (271kB)
[ivy:resolve] sha1 file found for http://repo1.maven.org/maven2/xalan/serializer/2.7.1/serializer-2.7.1.jar: checking...
[ivy:resolve] mvn-repo: downloading http://repo1.maven.org/maven2/xalan/serializer/2.7.1/serializer-2.7.1.jar.sha1
[ivy:resolve] to C:\DOCUME~1\linj6\LOCALS~1\Temp\ivytmp10668sha1
[ivy:resolve] .. (0kB)
[ivy:resolve] WARN: [FAILED ] xalan#serializer;2.7.1!serializer.jar: invalid sha1: expected=sha1(serializer-2.7.1.jar)= computed=4b4b18df43445
1249bb65a63f2fb69e215a6a020 (172ms)
[ivy:resolve] WARN: [FAILED ] xalan#serializer;2.7.1!serializer.jar: invalid sha1: expected=sha1(serializer-2.7.1.jar)= computed=4b4b18df43445
1249bb65a63f2fb69e215a6a020 (172ms)
[ivy:resolve] WARN: ==== mvn-repo: tried
[ivy:resolve] WARN: http://repo1.maven.org/maven2/xalan/serializer/2.7.1/serializer-2.7.1.jar
[ivy:resolve] :: resolution report :: resolve 109ms :: artifacts dl 172ms
---------------------------------------------------------------------
| | modules || artifacts |
| conf | number| search|dwnlded|evicted|| number|dwnlded|
---------------------------------------------------------------------
| default | 1 | 0 | 0 | 0 || 1 | 0 |
---------------------------------------------------------------------
[ivy:resolve] WARN: ::::::::::::::::::::::::::::::::::::::::::::::
[ivy:resolve] WARN: :: FAILED DOWNLOADS ::
[ivy:resolve] WARN: :: ^ see resolution messages for details ^ ::
[ivy:resolve] WARN: ::::::::::::::::::::::::::::::::::::::::::::::
[ivy:resolve] WARN: :: xalan#serializer;2.7.1!serializer.jar
[ivy:resolve] WARN: ::::::::::::::::::::::::::::::::::::::::::::::
[ivy:resolve] Nbr of module to sort : 1
[ivy:resolve] Sort dependencies of : xalan#serializer;2.7.1 / Number of dependencies = 0
[ivy:resolve] Sort done for : xalan#serializer;2.7.1
[ivy:resolve] report for au.edu.qut.dia#ws-api-client;1.0 default produced in C:\Documents and Settings\linj6\.ivy2\cache\au.edu.qut.dia-ws-api-clie
nt-default.xml
[ivy:resolve] resolve done (109ms resolve - 172ms download)

[ivy:resolve] :: problems summary ::
[ivy:resolve] :::: WARNINGS
[ivy:resolve] [FAILED ] xalan#serializer;2.7.1!serializer.jar: invalid sha1: expected=sha1(serializer-2.7.1.jar)= computed=4b4b18df43445
1249bb65a63f2fb69e215a6a020 (172ms)
[ivy:resolve] [FAILED ] xalan#serializer;2.7.1!serializer.jar: invalid sha1: expected=sha1(serializer-2.7.1.jar)= computed=4b4b18df43445
1249bb65a63f2fb69e215a6a020 (172ms)
[ivy:resolve] ==== mvn-repo: tried
[ivy:resolve] http://repo1.maven.org/maven2/xalan/serializer/2.7.1/serializer-2.7.1.jar
[ivy:resolve] ::::::::::::::::::::::::::::::::::::::::::::::
[ivy:resolve] :: FAILED DOWNLOADS ::
[ivy:resolve] :: ^ see resolution messages for details ^ ::
[ivy:resolve] ::::::::::::::::::::::::::::::::::::::::::::::
[ivy:resolve] :: xalan#serializer;2.7.1!serializer.jar
[ivy:resolve] ::::::::::::::::::::::::::::::::::::::::::::::
[ivy:resolve]
[ivy:resolve]
[ivy:resolve] :: USE VERBOSE OR DEBUG MESSAGE LEVEL FOR MORE DETAILS

",,,,,,,,2/2/2009 8:34,,,,"8 years, 24 weeks ago",,140652,,,Restricted to agents,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,Restricted to agents,,,Restricted to agents,,,,,,192100,,,,,,,,0|i0x913:
Ivy,IVY-1027,"resolver, which can do automatic build of dependencies",New Feature,Open,Major,Unresolved,Unassigned,Ruslan Shevchenko,Ruslan Shevchenko,2/2/2009 15:00,,7/1/2012 22:57,,,,,,0,0,,,,,,,,any.,"Good day.
I wrote resolver, which can do automatic build and publish of dependencies, if their source code is available.
(detailed description at http://redmine.gradsoft.ua/wiki/jungleplatform/Ivybuildplugin)

I want donate all code to ivy project and include resolver to ivy core. 
Source archive is in attachment. Now this is separate module, I need some advise before preparing path to ivy (It is necessory to rewrite resolver in JDK-1.4 ? Where to put testcases ?)
",,,,,,,patch,2/4/2009 20:46,,,,"8 years, 20 weeks, 1 day ago",,89147,,,Restricted to agents,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,Restricted to agents,,,Restricted to agents,,,,,,245809,,,,,,,,0|i16giv:
